WARNING: naive/sim/testbench.v:55: $readmemh(naive/sim/inst_rom.data): Not enough words in the file for the requested range [0:1023].
VCD info: dumpfile naive_cpu.vcd opened for output.
Time:               655000, PC: 00000018, Inst: 00110113, x1:         43, x2:         13, x3:        101
Time:               665000, PC: 0000001c, Inst: ffbff06f, x1:         43, x2:         13, x3:        101
Time:               675000, PC: 00000020, Inst: 800002b7, x1:         43, x2:         13, x3:        101
Time:               685000, PC: 00000012, Inst: 00000013, x1:         43, x2:         13, x3:        101
Time:               695000, PC: 00000016, Inst: 002080b3, x1:         43, x2:         14, x3:        101
Time:               705000, PC: 0000001a, Inst: 00110113, x1:         43, x2:         14, x3:        101
Time:               715000, PC: 0000001e, Inst: ffbff06f, x1:         43, x2:         14, x3:        101
Time:               725000, PC: 00000022, Inst: 800002b7, x1:         43, x2:         14, x3:        101
Time:               735000, PC: 00000014, Inst: 00000013, x1:         57, x2:         14, x3:        101
Time:               745000, PC: 00000018, Inst: 00110113, x1:         57, x2:         15, x3:        101
Time:               755000, PC: 0000001c, Inst: ffbff06f, x1:         57, x2:         15, x3:        101
Time:               765000, PC: 00000020, Inst: 800002b7, x1:         57, x2:         15, x3:        101
Time:               775000, PC: 00000012, Inst: 00000013, x1:         57, x2:         15, x3:        101
Time:               785000, PC: 00000016, Inst: 002080b3, x1:         57, x2:         16, x3:        101
Time:               795000, PC: 0000001a, Inst: 00110113, x1:         57, x2:         16, x3:        101
Time:               805000, PC: 0000001e, Inst: ffbff06f, x1:         57, x2:         16, x3:        101
Time:               815000, PC: 00000022, Inst: 800002b7, x1:         57, x2:         16, x3:        101
Time:               825000, PC: 00000014, Inst: 00000013, x1:         73, x2:         16, x3:        101
Time:               835000, PC: 00000018, Inst: 00110113, x1:         73, x2:         17, x3:        101
Time:               845000, PC: 0000001c, Inst: ffbff06f, x1:         73, x2:         17, x3:        101
Time:               855000, PC: 00000020, Inst: 800002b7, x1:         73, x2:         17, x3:        101
Time:               865000, PC: 00000012, Inst: 00000013, x1:         73, x2:         17, x3:        101
Time:               875000, PC: 00000016, Inst: 002080b3, x1:         73, x2:         18, x3:        101
Time:               885000, PC: 0000001a, Inst: 00110113, x1:         73, x2:         18, x3:        101
Time:               895000, PC: 0000001e, Inst: ffbff06f, x1:         73, x2:         18, x3:        101
Time:               905000, PC: 00000022, Inst: 800002b7, x1:         73, x2:         18, x3:        101
Time:               915000, PC: 00000014, Inst: 00000013, x1:         91, x2:         18, x3:        101
Time:               925000, PC: 00000018, Inst: 00110113, x1:         91, x2:         19, x3:        101
Time:               935000, PC: 0000001c, Inst: ffbff06f, x1:         91, x2:         19, x3:        101
Time:               945000, PC: 00000020, Inst: 800002b7, x1:         91, x2:         19, x3:        101
Time:               955000, PC: 00000012, Inst: 00000013, x1:         91, x2:         19, x3:        101
Time:               965000, PC: 00000016, Inst: 002080b3, x1:         91, x2:         20, x3:        101
